	positive	neutral	negative	total	positive_list	neutral_list	negative_list
0005019281	93	8	8	109	[10, 8029, 7030, 6036, 4034, 2050, 5068, 71, 3086, 1093, 93, 6113, 7111, 9134, 9166, 6207, 178, 7197, 4216, 3208, 3216, 9232, 9237, 8239, 9240, 7219, 4245, 245, 8261, 9265, 8273, 8276, 3277, 2339, 9350, 7351, 9373, 8384, 8392, 7380, 8436, 9454, 5476, 460, 8480, 2509, 5530, 5535, 2536, 527, 7521, 8559, 3559, 1621, 1632, 1648, 656, 7656, 3702, 2714, 1699, 8702, 7687, 6759, 9752, 3724, 9755, 4761, 4763, 3733, 7714, 7733, 9803, 5802, 7750, 1784, 7769, 800, 6874, 2841, 1824, 9867, 5892, 2879, 2893, 4927, 9947, 4951, 900, 3921, 6977, 5994, 5998]	[1015, 3164, 3402, 1828, 8833, 870, 7911, 7953]	[9000, 1232, 4420, 9424, 3697, 5808, 3808, 5935]
0764007211	63	8	8	79	[5000, 6014, 8038, 8047, 9074, 6101, 8142, 3165, 167, 9206, 6238, 4217, 1260, 9301, 3289, 3321, 3339, 7329, 364, 5389, 5422, 9423, 4438, 6457, 9462, 9469, 9474, 9506, 9525, 6557, 2544, 1538, 7539, 4588, 6630, 2619, 634, 6681, 1665, 6713, 3686, 2710, 3712, 2723, 1722, 8734, 7740, 9805, 6822, 6835, 7787, 1848, 1859, 4898, 862, 4925, 5929, 4943, 6966, 2941, 8926, 2943, 938]	[4024, 4119, 7297, 8474, 1574, 7700, 4805, 2955]	[6138, 3634, 5704, 7716, 9949, 8938, 7922, 7925]
0780019172	0	0	3	3	[]	[]	[7000, 4209, 1569]
0738919039	14	2	2	18	[6000, 1091, 8110, 4163, 1264, 286, 8338, 5632, 1633, 4686, 6719, 6721, 9713, 7979]	[179, 8652]	[8541, 6726]
0767801962	17	15	8	40	[3000, 5008, 5042, 5064, 160, 189, 2357, 8399, 9439, 9530, 8526, 2550, 597, 9809, 3939, 5984, 8954]	[6053, 55, 1122, 1145, 6234, 221, 6291, 2283, 2329, 9359, 4723, 2729, 1715, 762, 801]	[5223, 7218, 7361, 384, 3547, 589, 9935, 7885]
0310263662	320	308	331	959	[1008, 3010, 3013, 7010, 3017, 1021, 3020, 8024, 5021, 5022, 5024, 7026, 30, 8036, 3041, 5040, 4046, 1057, 6054, 2056, 59, 2066, 6072, 6073, 6075, 8083, 5084, 3085, 2084, 2089, 3091, 6098, 89, 5095, 8096, 9096, 9108, 4111, 7108, 8117, 3115, 114, 8121, 4120, 6132, 7122, 4132, 9133, 6150, 9138, 5157, 6171, 3157, 8169, 7154, 6196, 171, 9182, 7172, 8192, 1195, 2196, 7181, 1198, 4196, 7184, 7189, 8208, 9209, 5216, 197, 9219, 9222, 5232, 8232, 226, 3233, 4244, 1248, 3242, 6281, 9269, 6286, 2267, 3256, 2276, 2277, 5284, 7262, 8291, 6314, 4295, 9302, 7285, 6328, 1310, 4311, 6333, 8320, 6340, 8325, 3318, 5337, 4348, 9352, 8359, 6378, 8371, 4371, 9374, 358, 361, 7356, 9378, 5383, 9384, 9386, 9387, 4384, 3375, 8393, 4392, 1394, 8402, 9403, 4407, 5409, 389, 2402, 5413, 4413, 2409, 2410, 5420, 7398, 2420, 4426, 406, 9430, 2428, 8430, 1424, 4432, 412, 413, 1428, 9442, 419, 1438, 9448, 7428, 1448, 3438, 4460, 3441, 2459, 9470, 9478, 3458, 6493, 2477, 7453, 6495, 3464, 5489, 4490, 8488, 6515, 3484, 488, 3488, 1500, 9515, 3494, 2511, 7485, 2513, 7494, 1517, 6548, 9537, 7507, 8533, 2537, 3523, 8540, 1535, 4557, 7520, 6574, 5569, 7526, 9566, 8555, 5575, 5576, 9573, 4577, 9580, 5591, 9591, 3565, 9593, 9594, 6610, 575, 8583, 5603, 5605, 582, 6622, 8595, 3590, 5616, 6639, 8609, 5631, 5640, 1611, 9662, 5667, 5676, 7650, 6709, 8671, 6715, 7657, 4706, 4716, 7672, 7674, 4731, 2716, 4750, 8717, 3725, 2738, 4759, 4767, 8731, 5768, 1735, 2756, 3749, 1741, 7729, 2768, 7734, 741, 3761, 3767, 3769, 2782, 9806, 1763, 764, 7755, 6834, 4816, 1782, 3795, 3805, 1804, 1809, 2831, 806, 9856, 4856, 5862, 1822, 812, 2848, 1834, 7820, 7821, 4881, 9884, 839, 4888, 8849, 3861, 849, 7836, 8860, 853, 5910, 5918, 6941, 7862, 5934, 4934, 1901, 4942, 1911, 7880, 5950, 896, 901, 902, 5962, 3931, 5967, 3944, 1943, 5981, 8952, 4992, 7929, 7931, 944, 8970, 3980, 8977, 8979, 1980, 966, 7960, 8994, 982, 7970]	[8000, 4001, 3004, 8004, 5006, 5007, 9011, 3014, 13, 5016, 6021, 21, 22, 8031, 9033, 3042, 9040, 37, 8051, 7049, 8062, 6059, 7059, 9060, 4059, 3062, 9065, 1070, 9068, 8075, 8084, 79, 2083, 4090, 4093, 1105, 7102, 3111, 1123, 116, 9120, 6130, 2128, 1131, 8129, 125, 2136, 6149, 1141, 7130, 136, 7139, 6163, 3151, 156, 7151, 8171, 161, 5180, 2177, 7160, 6205, 8191, 5198, 2191, 9190, 5204, 4198, 187, 5209, 6228, 5213, 2217, 2220, 5226, 5243, 8246, 9247, 3234, 7230, 242, 6275, 6285, 8266, 7250, 2275, 5282, 9281, 4278, 7265, 288, 9304, 1302, 297, 2314, 303, 2320, 2322, 6343, 2326, 3314, 7310, 7314, 7315, 1332, 9338, 7319, 2344, 3337, 4346, 9355, 5358, 343, 5363, 9365, 3360, 1367, 3361, 5378, 1373, 9383, 7363, 6407, 372, 6414, 4400, 4405, 5408, 3389, 9414, 5415, 1409, 399, 9420, 3403, 4428, 411, 7413, 2432, 5437, 5441, 6452, 6453, 8443, 1447, 2452, 9457, 2455, 3439, 2456, 440, 6475, 5467, 5471, 1461, 5472, 6498, 2485, 4493, 3483, 6520, 4513, 3486, 3487, 6523, 491, 2512, 8514, 4531, 2521, 9532, 7498, 9535, 6552, 4542, 6558, 6561, 7515, 4559, 5571, 6581, 4568, 4575, 1560, 8571, 4597, 7552, 8582, 7556, 8588, 588, 4616, 5623, 596, 4635, 1608, 2630, 9648, 3625, 2637, 1623, 2642, 4654, 3638, 632, 8641, 5666, 2658, 6687, 2667, 6693, 6694, 9687, 4691, 3671, 3675, 2691, 1678, 670, 6724, 3684, 4714, 1686, 1687, 3694, 9724, 8689, 3696, 6747, 5741, 4741, 8709, 7692, 1716, 2734, 4758, 3730, 6771, 716, 9761, 6783, 1732, 2759, 4781, 4787, 9790, 8753, 6818, 5813, 766, 9826, 1786, 3798, 5839, 5841, 6862, 8816, 7793, 8824, 3836, 2847, 1830, 3843, 3846, 9877, 4878, 1846, 6899, 847, 5902, 5903, 6922, 7846, 4913, 6934, 2897, 3891, 2906, 7865, 7870, 7878, 6963, 8903, 6965, 5955, 9954, 5959, 908, 7896, 4964, 2940, 3936, 5976, 2958, 8949, 1957, 9993, 3966, 947, 1978, 962, 2997, 7963, 983, 995, 997, 7987, 7995]	[7004, 5, 7006, 2009, 3019, 9019, 6024, 8026, 2029, 9036, 8039, 9041, 6045, 42, 2047, 4051, 8057, 7058, 8066, 7065, 3065, 5070, 66, 9069, 3076, 9079, 6088, 5089, 3089, 8091, 2091, 3095, 6111, 1106, 3103, 6116, 7104, 107, 3109, 8114, 2117, 1121, 5119, 121, 6135, 9126, 6144, 8135, 5145, 134, 3136, 1144, 7133, 139, 140, 4145, 8158, 9153, 146, 6173, 154, 5166, 4159, 3166, 169, 5186, 9180, 9186, 3179, 4191, 3188, 6217, 3189, 185, 2204, 4200, 1205, 2209, 4207, 4208, 5222, 4221, 2230, 8230, 2233, 3221, 9242, 4242, 232, 3232, 234, 5253, 3239, 2257, 8260, 6284, 2272, 1273, 4283, 6307, 5294, 9293, 6313, 4302, 8307, 9309, 5318, 300, 7296, 304, 5323, 9320, 309, 8330, 1327, 317, 2333, 4334, 3328, 2341, 2342, 5347, 5349, 7326, 1345, 2349, 8358, 9361, 3350, 8366, 9370, 355, 1366, 8375, 2372, 9379, 7359, 3367, 7362, 367, 6402, 8388, 5392, 7368, 8396, 3383, 1398, 9413, 1406, 7392, 8417, 4418, 8424, 6442, 409, 3412, 5443, 420, 5446, 6455, 2448, 7430, 3434, 9458, 9466, 5468, 9472, 4477, 2471, 2478, 2480, 4488, 9488, 3477, 2494, 2500, 4511, 7474, 7484, 9516, 6533, 502, 5527, 513, 3511, 1524, 8532, 1528, 1534, 9552, 9553, 1539, 7528, 6589, 9576, 3549, 4578, 4579, 6604, 8587, 3581, 5609, 6627, 4619, 5619, 5622, 4626, 9629, 6647, 2624, 6663, 8629, 621, 1622, 6669, 4658, 3637, 5669, 642, 8650, 9683, 6695, 6703, 8669, 5703, 665, 3681, 9711, 2696, 3688, 6739, 4735, 4738, 2727, 5744, 703, 3722, 6769, 8725, 3735, 6776, 2746, 1729, 9768, 724, 3746, 9780, 2761, 5781, 1743, 4785, 8757, 4801, 7748, 6826, 3786, 3791, 1781, 2807, 9840, 7781, 8804, 2818, 4838, 793, 5844, 6861, 2824, 8811, 7790, 1811, 7794, 3826, 4854, 2837, 8823, 5864, 5865, 3835, 819, 8829, 6887, 9873, 1838, 9880, 2863, 1853, 8856, 5899, 1866, 9902, 5911, 9909, 7852, 9924, 5927, 874, 7864, 4929, 6947, 3907, 4945, 5951, 7887, 3923, 9957, 4959, 913, 9964, 6991, 2952, 4976, 2953, 925, 926, 4978, 9982, 9989, 5993, 1959, 5995, 3960, 9995, 8962, 7939, 1975, 3982, 3996, 973, 7976, 7983]
076780192X	227	60	23	310	[0, 3006, 1006, 2008, 6010, 7013, 3025, 6031, 7033, 7034, 6037, 3045, 44, 1056, 8058, 9057, 57, 9063, 2072, 5087, 2085, 94, 5103, 8103, 8112, 7107, 6134, 4129, 1135, 2137, 7129, 5144, 5146, 2150, 6161, 7141, 1155, 4153, 2162, 1159, 1169, 1170, 6195, 7165, 9188, 8213, 9218, 8218, 9224, 5227, 5230, 4224, 1231, 223, 1240, 9246, 4248, 4251, 3244, 7243, 7245, 6287, 8272, 6316, 6325, 8313, 5321, 2319, 1319, 8334, 6351, 8344, 3335, 5354, 6379, 4367, 3363, 7360, 3372, 8391, 2387, 390, 6424, 8413, 3394, 1412, 4423, 4425, 5431, 8431, 7415, 7420, 1436, 1440, 1442, 1443, 7437, 1459, 451, 8466, 2465, 1463, 9479, 4481, 6503, 2488, 7464, 7465, 7471, 6518, 5511, 3491, 500, 6553, 2529, 526, 8537, 9548, 9557, 537, 6579, 9569, 551, 2572, 9587, 2590, 9601, 1585, 2601, 3592, 8602, 9623, 3604, 1602, 9635, 2629, 8627, 4651, 630, 4662, 2662, 2670, 5686, 9686, 5690, 3667, 4701, 5712, 2698, 3685, 8687, 5722, 5724, 4726, 9732, 699, 7690, 9746, 3717, 8710, 1712, 5755, 4754, 7702, 4771, 4780, 3758, 7746, 6816, 5807, 6821, 9811, 6831, 2798, 5823, 4819, 2804, 5831, 4825, 4831, 4832, 1797, 2820, 2823, 5847, 4842, 4843, 802, 3825, 805, 5857, 4852, 5858, 1819, 816, 1829, 4864, 4869, 1840, 1843, 8840, 5880, 7823, 5884, 1854, 8859, 7838, 2887, 6930, 5923, 5930, 2905, 4928, 9936, 889, 9941, 6985, 915, 8928, 4974, 2954, 927, 9984, 935, 942, 7937, 1976]	[1000, 1024, 1044, 1058, 2068, 3096, 2167, 6201, 3209, 7205, 9226, 216, 9245, 6276, 247, 2279, 1278, 4296, 9329, 6376, 5372, 5376, 7357, 366, 3377, 6427, 9421, 5430, 3414, 8500, 7495, 7511, 3556, 1564, 2577, 583, 9615, 6634, 8623, 9651, 3632, 1631, 3666, 6730, 3752, 7739, 1772, 6837, 6866, 5867, 7835, 4912, 2892, 898, 3929, 7909, 7913, 3957, 7948, 7989]	[7069, 3106, 2160, 7194, 5247, 3279, 6311, 6368, 3344, 5487, 7493, 7536, 9581, 7544, 7575, 6657, 1706, 749, 9802, 4807, 7834, 2951, 1947]
0780622561	1	0	5	6	[1150]	[]	[2000, 9023, 6157, 9585, 9912]
0764005693	46	17	9	72	[4000, 3005, 4027, 3036, 7039, 84, 8098, 3121, 168, 5188, 4190, 9213, 229, 7236, 5270, 1290, 5326, 8332, 5338, 342, 5405, 3449, 3455, 2473, 7479, 6542, 6606, 6696, 2688, 6728, 1719, 8721, 2749, 745, 3770, 7768, 7780, 7792, 8828, 828, 9891, 5895, 3873, 1893, 8892, 2919]	[25, 9273, 9275, 4272, 3331, 6393, 5399, 5416, 9428, 8490, 3522, 643, 2733, 1726, 2851, 1921, 4980]	[4007, 4267, 9299, 3348, 8649, 5684, 778, 5973, 8963]
0767819454	0	0	12	12	[]	[]	[5001, 6051, 7145, 8199, 6256, 4370, 5428, 5596, 5599, 9636, 7842, 2948]
